SUBJECT,TRIAL,TECHNIQUE,TASK,TRAINING,DATA, ANSWER, ERROR, TIME, TRACKING_MAIN, TRACKING_CURSOR, TRACKING_PLANE 

0, PointDistance, True,21_formatted.bed.pro, chr21-37400000-37500000, chr21-48100000-48200000, chr21-23000000-23100000, chr21-40800000-40900000, True, Projection, True, 2305.7537

1, PointDistance, True,19_formatted.bed.pro, chr19-10400000-10500000, chr19-18300000-18400000, chr19-24600000-24700000, chr19-40300000-40400000, False, Projection, True, 6002.3187
SUBJECT,TRIAL,TECHNIQUE,TASK,TRAINING,DATA, ANSWER, ERROR, TIME, TRACKING_MAIN, TRACKING_CURSOR, TRACKING_PLANE 

0, PointDistance, True,21_formatted.bed.pro, chr21-37400000-37500000, chr21-48100000-48200000, chr21-23000000-23100000, chr21-40800000-40900000, True, Projection, False, 194454.6453

1, PointDistance, True,19_formatted.bed.pro, chr19-10400000-10500000, chr19-18300000-18400000, chr19-24600000-24700000, chr19-40300000-40400000, False, Projection, True, 154000.0141
SUBJECT,TRIAL,TECHNIQUE,TASK,TRAINING,DATA, ANSWER, ERROR, TIME, TRACKING_MAIN, TRACKING_CURSOR, TRACKING_PLANE 

0, PointDistance, True,21_formatted.bed.pro, chr21-37400000-37500000, chr21-48100000-48200000, chr21-23000000-23100000, chr21-40800000-40900000, True, Projection, True, 371604.8191

1, PointDistance, True,19_formatted.bed.pro, chr19-10400000-10500000, chr19-18300000-18400000, chr19-24600000-24700000, chr19-40300000-40400000, False, Projection, True, 46833.8528
