SUBJECT,TRIAL,TECHNIQUE,TASK,TRAINING,DATA, ANSWER, ERROR, TIME, TRACKING_MAIN, TRACKING_CURSOR, TRACKING_PLANE 

0, PointDistance, True,21_formatted.bed.pro, chr21-37400000-37500000, chr21-48100000-48200000, chr21-23000000-23100000, chr21-40800000-40900000, True, Projection, True, 2305.7537
SUBJECT,TRIAL,TECHNIQUE,TASK,TRAINING,DATA, ANSWER, ERROR, TIME, TRACKING_MAIN, TRACKING_CURSOR, TRACKING_PLANE 

0, PointDistance, True,21_formatted.bed.pro, chr21-37400000-37500000, chr21-48100000-48200000, chr21-23000000-23100000, chr21-40800000-40900000, True, Projection, False, 194454.6453
SUBJECT,TRIAL,TECHNIQUE,TASK,TRAINING,DATA, ANSWER, ERROR, TIME, TRACKING_MAIN, TRACKING_CURSOR, TRACKING_PLANE 

0, PointDistance, True,21_formatted.bed.pro, chr21-37400000-37500000, chr21-48100000-48200000, chr21-23000000-23100000, chr21-40800000-40900000, True, Projection, True, 371604.8191
SUBJECT,TRIAL,TECHNIQUE,TASK,TRAINING,DATA, ANSWER, ERROR, TIME, TRACKING_MAIN, TRACKING_CURSOR, TRACKING_PLANE 

2, PointDistance, False,15_formatted.bed.sen, chr15-27600000-27700000, chr15-49300000-49400000, chr15-28600000-28700000, chr15-42700000-42800000, False, Projection, False, 3641.1372
SUBJECT,TRIAL,TECHNIQUE,TASK,TRAINING,DATA, ANSWER, ERROR, TIME, TRACKING_MAIN, TRACKING_CURSOR, TRACKING_PLANE 

0, LargerTad, True,11_formatted.bed.sen, 1, Projection, True, 3136.0715
SUBJECT,TRIAL,TECHNIQUE,TASK,TRAINING,DATA, ANSWER, ERROR, TIME, TRACKING_MAIN, TRACKING_CURSOR, TRACKING_PLANE 

0, LargerTad, True,11_formatted.bed.sen, 1, Projection, True, 12247.9053
SUBJECT,TRIAL,TECHNIQUE,TASK,TRAINING,DATA, ANSWER, ERROR, TIME, TRACKING_MAIN, TRACKING_CURSOR, TRACKING_PLANE 

0, LargerTad, True,11_formatted.bed.sen, 1, Projection, True, 8460.2074
SUBJECT,TRIAL,TECHNIQUE,TASK,TRAINING,DATA, ANSWER, ERROR, TIME, TRACKING_MAIN, TRACKING_CURSOR, TRACKING_PLANE 

0, LargerTad, True,11_formatted.bed.sen, 1, Projection, True, 10045.276
SUBJECT,TRIAL,TECHNIQUE,TASK,TRAINING,DATA, ANSWER, ERROR, TIME, TRACKING_MAIN, TRACKING_CURSOR, TRACKING_PLANE 

0, PointDistance, True,21_formatted.bed.pro, chr21-37400000-37500000, chr21-48100000-48200000, chr21-23000000-23100000, chr21-40800000-40900000, True, Projection, True, 4565.9177
SUBJECT,TRIAL,TECHNIQUE,TASK,TRAINING,DATA, ANSWER, ERROR, TIME, TRACKING_MAIN, TRACKING_CURSOR, TRACKING_PLANE 

0, PointDistance, True,21_formatted.bed.pro, chr21-37400000-37500000, chr21-48100000-48200000, chr21-23000000-23100000, chr21-40800000-40900000, True, Projection, True, 2884.3895
SUBJECT,TRIAL,TECHNIQUE,TASK,TRAINING,DATA, ANSWER, ERROR, TIME, TRACKING_MAIN, TRACKING_CURSOR, TRACKING_PLANE 

0, PointDistance, True,21_formatted.bed.pro, chr21-37400000-37500000, chr21-48100000-48200000, chr21-23000000-23100000, chr21-40800000-40900000, True, Projection, True, 3015.4548
SUBJECT,TRIAL,TECHNIQUE,TASK,TRAINING,DATA, ANSWER, ERROR, TIME, TRACKING_MAIN, TRACKING_CURSOR, TRACKING_PLANE 

0, PointDistance, True,21_formatted.bed.pro, chr21-37400000-37500000, chr21-48100000-48200000, chr21-23000000-23100000, chr21-40800000-40900000, True, Projection, True, 25519.8178
SUBJECT,TRIAL,TECHNIQUE,TASK,TRAINING,DATA, ANSWER, ERROR, TIME, TRACKING_MAIN, TRACKING_CURSOR, TRACKING_PLANE 

0, PointDistance, True,21_formatted.bed.pro, chr21-37400000-37500000, chr21-48100000-48200000, chr21-23000000-23100000, chr21-40800000-40900000, True, Projection, False, 4044.7442
SUBJECT,TRIAL,TECHNIQUE,TASK,TRAINING,DATA, ANSWER, ERROR, TIME, TRACKING_MAIN, TRACKING_CURSOR, TRACKING_PLANE 

0, PointDistance, True,21_formatted.bed.pro, chr21-37400000-37500000, chr21-48100000-48200000, chr21-23000000-23100000, chr21-40800000-40900000, True, Projection, False, 961.4548
SUBJECT,TRIAL,TECHNIQUE,TASK,TRAINING,DATA, ANSWER, ERROR, TIME, TRACKING_MAIN, TRACKING_CURSOR, TRACKING_PLANE 

5, PointDistance, False,17_formatted.bed.sen, chr17-50400000-50500000, chr17-80300000-80400000, chr17-26300000-26400000, chr17-44500000-44600000, False, Projection, False, 7423.1142
