chr22	16300000	16400000	chr22	32800000	32900000	0.205211857634
chr22	16300000	16400000	chr22	33400000	33500000	0.162422018804
chr22	16300000	16400000	chr22	41100000	41200000	0.222798070853
chr22	16300000	16400000	chr22	45400000	45500000	0.164783708444
chr22	16300000	16400000	chr22	50800000	50900000	0.243018458983
chr22	16500000	16600000	chr22	17400000	17500000	0.046823629371
chr22	16500000	16600000	chr22	17600000	17700000	0.0465524154649
chr22	16500000	16600000	chr22	22500000	22600000	0.0531041041841
chr22	16500000	16600000	chr22	23300000	23400000	0.0463947998461
chr22	16500000	16600000	chr22	25400000	25500000	0.0525832362727
chr22	16500000	16600000	chr22	25600000	25700000	0.0671295797702
chr22	16500000	16600000	chr22	26100000	26200000	0.0564731636538
chr22	16500000	16600000	chr22	26600000	26700000	0.037443754122
chr22	16500000	16600000	chr22	27400000	27500000	0.0465820669622
chr22	16500000	16600000	chr22	28300000	28400000	0.0468525154789
chr22	16500000	16600000	chr22	31000000	31100000	0.0678152487109
chr22	16500000	16600000	chr22	34200000	34300000	0.0462431222907
chr22	16500000	16600000	chr22	34500000	34600000	0.0360278340279
chr22	16500000	16600000	chr22	34600000	34700000	0.0769093873606
chr22	16500000	16600000	chr22	43800000	43900000	0.0465651861407
chr22	16500000	16600000	chr22	47200000	47300000	0.0513513084946
chr22	16500000	16600000	chr22	48300000	48400000	0.0375428264516
chr22	16500000	16600000	chr22	48700000	48800000	0.0557144473085
chr22	16500000	16600000	chr22	49400000	49500000	0.0817331876717
chr22	16800000	16900000	chr22	17900000	18000000	0.055587960636
chr22	16800000	16900000	chr22	18800000	18900000	0.605354502287
chr22	16800000	16900000	chr22	23100000	23200000	0.0449747145127
chr22	16800000	16900000	chr22	26400000	26500000	0.0815971153085
chr22	16800000	16900000	chr22	26600000	26700000	0.0372720275931
chr22	16800000	16900000	chr22	36200000	36300000	0.0476418979619
chr22	16800000	16900000	chr22	48600000	48700000	0.0400360296841
chr22	16800000	16900000	chr22	48900000	49000000	0.0857048534416
chr22	16900000	17000000	chr22	17600000	17700000	0.19492124124
chr22	16900000	17000000	chr22	18200000	18300000	0.171569016958
chr22	16900000	17000000	chr22	24600000	24700000	0.312376132304
chr22	16900000	17000000	chr22	35100000	35200000	0.150069186364
chr22	16900000	17000000	chr22	35200000	35300000	0.169264328979
chr22	17000000	17100000	chr22	17100000	17200000	0.253912675331
chr22	17000000	17100000	chr22	17400000	17500000	0.0271827067377
